question,expected_answer,ai_answer,result
"What is ECM in the context of LiquidRound?","ECM stands for Equity Capital Markets. LiquidRound provides 32 specialist AI agents for buyer-led M&A, seller-led transactions, public markets, and investor relations.",,
"How many AI agents does LiquidRound have?","LiquidRound has 32 specialist AI agents organized into 7 categories: sourcing, underwriting, diligence, capital, portfolio, public markets, and investor relations.",,
"What are the 7 agent categories?","The 7 categories are: Deal Sourcing & Screening, Valuation & Underwriting, Due Diligence Stack, Deal Execution & Capital, Research & Post-Deal, Public Markets & Hedge Funds, and Investor Relations & Communications.",,
"What does the Deal Triage agent do?","The Deal Triage agent performs initial screening of potential acquisition targets, evaluating fit based on size, sector, geography, growth profile, and strategic alignment.",,
"How does the DCF Modeler work?","The DCF Modeler builds discounted cash flow valuations using company financials, applying user-specified WACC and terminal growth rates to estimate intrinsic value.",,
"What is the difference between buyer and seller modes?","Buyer mode focuses on acquisition target sourcing, underwriting, diligence, and IC memo drafting. Seller mode focuses on sale preparation (teasers/CIMs), buyer identification, and IPO readiness assessment.",,
"How do I run a valuation for Grigeo?","Type 'dcf: Grigeo at 9% WACC, 2.5% terminal growth' in the chat. The DCF Modeler agent will pull Grigeo's financials and build a discounted cash flow model.",,
"What is the IC Memo Writer?","The IC Memo Writer (memo:) drafts Investment Committee memoranda summarizing the investment thesis, valuation, risks, and recommendation for a target company.",,
"How does agent routing work?","Messages are auto-routed to the best specialist agent. You can also use explicit prefixes like 'triage:', 'dcf:', 'memo:', 'ipo:' to target a specific agent directly.",,
"What data sources does LiquidRound use?","LiquidRound uses Yahoo Finance for company fundamentals and market data, EXA for semantic search, Tavily for web research, and uploaded documents (PDF/XLSX/PPTX) via the data room.",,
"What is the VDR Reviewer?","The VDR (Virtual Data Room) Reviewer agent analyzes uploaded documents, extracts key terms, identifies risks, and summarizes findings for due diligence.",,
"How do I assess IPO readiness?","Type 'ipo: [company name] readiness assessment for [exchange]' to get the IPO Advisor agent to evaluate listing readiness across governance, financials, and market conditions.",,
"What is the Comps Analyst?","The Comps Analyst (comps:) performs comparable company analysis, benchmarking a target against industry peers on valuation multiples like EV/EBITDA, P/E, and EV/Revenue.",,
"How do I find acquisition targets?","Use 'scan: [criteria]' to activate the Deal Scanner agent, e.g., 'scan: Baltic healthcare targets under EUR 50M'. It searches for companies matching your M&A criteria.",,
"What is the Synergy Analyst?","The Synergy Analyst (synergy:) estimates potential cost and revenue synergies from combining two companies, covering operational overlap, cross-sell, and integration costs.",,
"How do I draft an investment teaser?","In seller mode, type 'teaser: prepare investment teaser for [company]' to get the Teaser Writer agent to draft a marketing document for potential buyers.",,
"What currencies does LiquidRound support?","LiquidRound supports EUR, GBP, and USD. Users can set their preferred currency in Profile & Preferences.",,
"What is the ESG Analyst?","The ESG Analyst (esg:) evaluates environmental, social, and governance risks and opportunities for a target company, covering carbon footprint, labor practices, board composition, and regulatory compliance.",,
"How does the daily digest work?","LiquidRound sends a daily email digest with Baltic M&A deal opportunities, company analyses, and market insights. It runs via an in-process scheduler at a configurable UTC hour.",,
"What is BYOD in LiquidRound?","BYOD means Bring Your Own Documents. Users can upload pitch books, CIMs, term sheets, and other deal documents for AI analysis via the data room feature.",,
