id,input_text,expected_slug,case_type,prior_messages,active_slug
1,scan: Nordic renewable energy targets,target_scanner,prefix,,
2,scan: founder-owned Baltic accounting SaaS,target_scanner,prefix,,
3,buyers: strategic acquirers for a logistics platform,buyer_scanner,prefix,,
4,buyers: PE sponsors for vertical software,buyer_scanner,prefix,,
5,triage: SaaS company with EUR 4M EBITDA,deal_triage,prefix,,
6,triage: go or no-go on this healthcare target,deal_triage,prefix,,
7,intent: founder-owned companies with succession risk,seller_intent,prefix,,
8,intent: rank sponsor assets by sale likelihood,seller_intent,prefix,,
9,profile: SAP.DE,company_profiler,prefix,,
10,profile: describe NOVO-B.CO,company_profiler,prefix,,
11,comps: European accounting SaaS transactions,comps_finder,prefix,,
12,comps: Nordic industrial trading peers,comps_finder,prefix,,
13,ltm: normalize the target P&L,ltm_normalizer,prefix,,
14,ltm: build an adjusted EBITDA bridge,ltm_normalizer,prefix,,
15,dcf: value the company at 9 percent WACC,dcf_valuer,prefix,,
16,dcf: downside valuation for Enefit Green,dcf_valuer,prefix,,
17,multi: apply peer EV EBITDA multiples,multiples_valuer,prefix,,
18,multi: precedent transaction valuation,multiples_valuer,prefix,,
19,synergy: Siemens plus Harju Elekter,synergy_analyst,prefix,,
20,synergy: quantify cost and revenue opportunities,synergy_analyst,prefix,,
21,vdr: audit the data room,vdr_auditor,prefix,,
22,vdr: list missing diligence documents,vdr_auditor,prefix,,
23,abstract: summarize the customer MSA,contract_abstractor,prefix,,
24,abstract: extract change-of-control clauses,contract_abstractor,prefix,,
25,legal: identify regulatory consents,legal_reviewer,prefix,,
26,legal: summarize pending litigation,legal_reviewer,prefix,,
27,ops: review working capital and systems,operational_dd,prefix,,
28,ops: create an operational diligence report,operational_dd,prefix,,
29,esg: assess environmental liabilities,esg_reviewer,prefix,,
30,esg: review governance and labor risks,esg_reviewer,prefix,,
31,memo: draft the IC memorandum,ic_memo_writer,prefix,,
32,memo: summarize thesis risks and returns,ic_memo_writer,prefix,,
33,teaser: prepare a blind teaser,teaser_designer,prefix,,
34,teaser: draft a sell-side CIM,teaser_designer,prefix,,
35,bid: design the cash stock and earnout mix,bid_strategist,prefix,,
36,bid: prepare an IOI structure,bid_strategist,prefix,,
37,ipo: assess listing readiness,ipo_readiness,prefix,,
38,ipo: build an 18-month IPO plan,ipo_readiness,prefix,,
39,score: buyer Siemens target Harju,match_scorer,prefix,,
40,score: rank this buyer-target fit,match_scorer,prefix,,
41,research: European software M&A trends,research_analyst,prefix,,
42,research: investigate the target market,research_analyst,prefix,,
43,hermes: challenge this investment thesis,hermes_orchestrator,prefix,,
44,hermes: identify missing diligence questions,hermes_orchestrator,prefix,,
45,integrate: build a 100-day plan,integration_planner,prefix,,
46,integrate: plan post-close systems integration,integration_planner,prefix,,
47,hedgefunds: largest funds by AUM,hedge_fund_analyst,prefix,,
48,hedgefunds: recent activist positions,hedge_fund_analyst,prefix,,
49,filings: AAPL 10-K risk factors,filing_analyst,prefix,,
50,filings: search recent 8-K filings,filing_analyst,prefix,,
51,releases: recent Nordic M&A announcements,press_release_analyst,prefix,,
52,releases: analyze earnings press releases,press_release_analyst,prefix,,
53,rto: completed US reverse mergers,reverse_merger_analyst,prefix,,
54,rto: compare RTOs and de-SPACs,reverse_merger_analyst,prefix,,
55,ir-triage: the CFO resigned unexpectedly,ir_triage,prefix,,
56,ir-triage: is this earnings miss material,ir_triage,prefix,,
57,write-release: draft a CEO appointment announcement,press_release_writer,prefix,,
58,write-release: prepare a partnership press release,press_release_writer,prefix,,
59,ir-compliance: review this draft for Reg FD,ir_compliance,prefix,,
60,ir-compliance: check this release under MAR,ir_compliance,prefix,,
61,ir-publish: finalize the approved earnings release,ir_publish,prefix,,
62,ir-publish: create a wire-ready package,ir_publish,prefix,,
63,ir-distribute: plan the Nordic release distribution,ir_distribute,prefix,,
64,ir-distribute: schedule exchange and wire notifications,ir_distribute,prefix,,
65,Find acquisition targets in Nordic renewables,target_scanner,freeform,,
66,Find strategic buyers for our accounting software,buyer_scanner,freeform,,
67,Give me a go/no-go triage on this deal,deal_triage,freeform,,
68,Which founder-owned businesses are most likely to sell,seller_intent,freeform,,
69,Build a company profile with business model and financials,company_profiler,freeform,,
70,Find transaction comps and compare to peers,comps_finder,freeform,,
71,Normalize LTM earnings and the QoE add-backs,ltm_normalizer,freeform,,
72,Build a discounted cash flow valuation,dcf_valuer,freeform,,
